repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
107,no-pause-80,open_loop,80,4000,3999,80,8.922748192468134,16.715329020047648,22.321977805208007,35.00476130534662,true
107,no-pause-80,closed_loop,80,3957,3956,79.14,9.988057523809402,21.207565823155164,28.485857452629716,41.48659224977018,true
108,no-pause-80,open_loop,80,4000,3999,80,8.861275676197693,16.32122819619326,20.807925969897042,28.097448780819832,true
108,no-pause-80,closed_loop,80,3952,3952,79.04,10.183134494865953,21.82789297806994,28.677326443626953,43.06151086005411,true
109,no-pause-80,open_loop,80,4000,3998,80,8.845475894595438,16.343008171133988,22.179525288636796,42.94233362490559,true
109,no-pause-80,closed_loop,80,3954,3953,79.08,10.149711928461329,21.44019728593412,28.618284427233448,39.43758724750114,true
110,no-pause-80,open_loop,80,4000,3999,80,8.801103994199366,16.00161596082762,20.705011269852548,30.258488419814967,true
110,no-pause-80,closed_loop,80,3953,3952,79.06,10.165970668182126,21.270247097585525,28.96476345588235,41.05871105353799,true
111,no-pause-80,open_loop,80,4000,3999,80,8.841058100340888,16.447786921035004,20.410897890265915,28.856561993547075,true
111,no-pause-80,closed_loop,80,3956,3956,79.12,10.114242314921285,21.837944813392824,30.175929660676047,43.917258825364115,true
112,no-pause-80,open_loop,80,4000,4000,80,8.931347537713009,16.107601000883733,21.030531587930454,35.48080973622564,true
112,no-pause-80,closed_loop,80,3951,3951,79.02,10.036378033042638,22.47504908379051,31.78593954968528,57.18920543057902,true
113,no-pause-80,open_loop,80,4000,3999,80,8.93833867614012,15.997115363104967,21.643782693339745,36.39006675454584,true
113,no-pause-80,closed_loop,80,3953,3953,79.06,10.253513942065183,21.43476033297702,28.88840016588074,37.22136076079914,true
114,no-pause-80,open_loop,80,4000,3999,80,8.867856359138386,16.170246097099152,21.2209698286606,32.350928269472206,true
114,no-pause-80,closed_loop,80,3954,3954,79.08,10.14557384773434,21.23545399036084,29.322578015991894,43.024128351222316,true
115,no-pause-80,open_loop,80,4000,3999,80,8.897695745217788,16.70058690325095,22.468302684399532,34.74687711066508,true
